company_id,company_name,industry,title,reason,expected_impact,estimated_difficulty,ai_automation_potential,priority_score
hvac-01,Carter Comfort Systems,HVAC,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-01,Carter Comfort Systems,HVAC,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-02,River City Heating & Air,HVAC,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-02,River City Heating & Air,HVAC,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-02,River City Heating & Air,HVAC,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
hvac-02,River City Heating & Air,HVAC,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-02,River City Heating & Air,HVAC,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-03,Advantage Air Mechanical,HVAC,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-03,Advantage Air Mechanical,HVAC,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-03,Advantage Air Mechanical,HVAC,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
hvac-03,Advantage Air Mechanical,HVAC,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-03,Advantage Air Mechanical,HVAC,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-04,Harker Heating & Cooling,HVAC,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-04,Harker Heating & Cooling,HVAC,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-04,Harker Heating & Cooling,HVAC,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
hvac-04,Harker Heating & Cooling,HVAC,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-04,Harker Heating & Cooling,HVAC,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-05,Horizon Homes,HVAC,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-05,Horizon Homes,HVAC,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-05,Horizon Homes,HVAC,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
hvac-05,Horizon Homes,HVAC,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-05,Horizon Homes,HVAC,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-01,Catalyst Construction & Kitchen Remodeling,Remodeling,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-01,Catalyst Construction & Kitchen Remodeling,Remodeling,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-01,Catalyst Construction & Kitchen Remodeling,Remodeling,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
remodeling-01,Catalyst Construction & Kitchen Remodeling,Remodeling,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-01,Catalyst Construction & Kitchen Remodeling,Remodeling,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-02,New Creations Custom Kitchen and Bath,Remodeling,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-02,New Creations Custom Kitchen and Bath,Remodeling,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-02,New Creations Custom Kitchen and Bath,Remodeling,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
remodeling-02,New Creations Custom Kitchen and Bath,Remodeling,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-02,New Creations Custom Kitchen and Bath,Remodeling,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-03,Carolina Home Remodeling,Remodeling,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-03,Carolina Home Remodeling,Remodeling,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-03,Carolina Home Remodeling,Remodeling,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
remodeling-03,Carolina Home Remodeling,Remodeling,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-03,Carolina Home Remodeling,Remodeling,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-04,Mark Hammer Construction LTD,Remodeling,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-04,Mark Hammer Construction LTD,Remodeling,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-04,Mark Hammer Construction LTD,Remodeling,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
remodeling-04,Mark Hammer Construction LTD,Remodeling,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-04,Mark Hammer Construction LTD,Remodeling,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
remodeling-05,Crystal Kitchen + Bath,Remodeling,Google Review Generation + Google Posts,Review volume or rating is below the threshold buyers use to filter local providers at a glance.,Medium,Low,Medium,2.0
remodeling-05,Crystal Kitchen + Bath,Remodeling,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-05,Crystal Kitchen + Bath,Remodeling,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
remodeling-05,Crystal Kitchen + Bath,Remodeling,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
remodeling-05,Crystal Kitchen + Bath,Remodeling,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
